iter	Passed	Remaining
730	5677	2089
731	5685	2081
732	5687	2071
733	5717	2072
734	5732	2066
735	5748	2062
736	5764	2056
737	5780	2051
738	5795	2046
739	5842	2052
740	5843	2042
741	5845	2032
742	5846	2022
743	5858	2015
744	5859	2005
745	5874	2000
746	5906	2000
747	5907	1990
748	5908	1980
749	5909	1969
750	5920	1963
751	5935	1957
752	5937	1947
753	5938	1937
754	5939	1927
755	5950	1920
756	5951	1910
757	5952	1900
758	5966	1894
759	5967	1884
760	5968	1874
761	5981	1868
762	5982	1858
763	5984	1848
764	5985	1838
765	5997	1832
766	6013	1826
767	6028	1821
768	6030	1811
769	6031	1801
770	6032	1791
771	6033	1782
772	6035	1772
773	6036	1762
774	6037	1752
775	6038	1743
776	6043	1734
777	6059	1728
778	6060	1719
779	6061	1709
780	6073	1703
781	6089	1697
782	6090	1688
783	6092	1678
784	6120	1676
785	6151	1674
786	6153	1665
787	6166	1659
788	6181	1653
789	6182	1643
790	6183	1633
791	6184	1624
792	6185	1614
793	6196	1607
794	6211	1601
795	6226	1595
796	6228	1586
797	6241	1580
798	6243	1570
799	6244	1561
800	6245	1551
801	6246	1542
802	6256	1534
803	6257	1525
804	6258	1516
805	6272	1509
806	6319	1511
807	6367	1513
808	6368	1503
809	6370	1494
810	6371	1484
811	6398	1481
812	6400	1472
813	6414	1465
814	6416	1456
815	6417	1447
816	6418	1437
817	6420	1428
818	6421	1419
819	6429	1411
820	6431	1402
821	6445	1395
822	6476	1392
823	6478	1383
824	6479	1374
825	6480	1365
826	6491	1357
827	6521	1354
828	6523	1345
829	6524	1336
830	6526	1327
831	6527	1318
832	6528	1308
833	6537	1301
834	6538	1292
835	6540	1283
836	6541	1273
837	6542	1264
838	6544	1255
839	6552	1248
840	6553	1239
841	6555	1230
842	6556	1221
843	6557	1212
844	6558	1203
845	6560	1194
846	6561	1185
847	6567	1177
848	6569	1168
849	6582	1161
850	6583	1152
851	6585	1143
852	6586	1135
853	6597	1127
854	6598	1119
855	6600	1110
856	6611	1103
857	6627	1096
858	6642	1090
859	6644	1081
860	6645	1072
861	6646	1064
862	6648	1055
863	6673	1050
864	6737	1051
865	6738	1042
866	6740	1033
867	6741	1025
868	6742	1016
869	6743	1007
870	6783	1004
871	6785	996
872	6786	987
873	6787	978
874	6788	969
875	6789	961
876	6798	953
877	6799	944
878	6828	939
879	6829	931
880	6843	924
881	6859	917
882	6861	909
883	6862	900
884	6863	891
885	6865	883
886	6875	875
887	6890	869
888	6905	862
889	6921	855
890	6937	848
891	6938	840
892	6940	831
893	6953	824
894	6954	815
895	6956	807
896	7000	803
897	7001	795
898	7032	790
899	7033	781
900	7062	776
901	7064	767
902	7065	758
903	7077	751
904	7107	746
905	7109	737
906	7122	730
907	7138	723
908	7154	716
909	7170	709
910	7186	702
911	7187	693
912	7218	687
913	7219	679
914	7249	673
915	7265	666
916	7280	658
917	7281	650
918	7283	641
919	7284	633
920	7285	624
921	7295	617
922	7296	608
923	7309	601
924	7310	592
925	7324	585
926	7339	577
927	7354	570
928	7356	562
929	7369	554
930	7370	546
931	7372	537
932	7401	531
933	7432	525
934	7433	516
935	7434	508
936	7435	499
937	7436	491
938	7447	483
939	7448	475
940	7463	467
941	7464	459
942	7465	451
943	7467	442
944	7468	434
945	7469	426
946	7470	418
947	7471	409
948	7478	401
949	7509	395
950	7524	387
951	7525	379
952	7539	371
953	7540	363
954	7542	355
955	7571	348
956	7586	340
957	7588	332
958	7589	324
959	7602	316
960	7617	309
961	7633	301
962	7665	294
963	7666	286
964	7667	278
965	7668	269
966	7669	261
967	7671	253
968	7672	245
969	7680	237
970	7696	229
971	7697	221
972	7712	214
973	7713	205
974	7714	197
975	7716	189
976	7717	181
977	7743	174
978	7757	166
979	7773	158
980	7788	150
981	7789	142
982	7790	134
983	7791	126
984	7792	118
985	7794	110
986	7795	102
987	7803	94
988	7804	86
989	7806	78
990	7819	71
991	7820	63
992	7822	55
993	7823	47
994	7824	39
995	7825	31
996	7827	23
997	7828	15
998	7829	7
999	7834	0
